drug name,molecular_formula,smiles,,drug class
Repaglinide,C27H36N2O4,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,,Antidiabetic Agents
Remdesivir,C27H35N6O8P,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,,Antiviral Agents|Nucleoside Analogues
Moexipril,C27H34N2O7,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC(=C(C=C3C[C@H]2C(=O)O)OC)OC,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Abemaciclib,C27H32F2N8,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,,Antineoplastic Agents|Protein Kinase Inhibitors
Eravacycline,C27H31FN4O8,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(C(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,,Antiinfective Agents|Tetracyclines
Lonafarnib,C27H31Br2ClN4O2,C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,,"Genetic Disease Agents,|Protein Kinase Inhibitors"
Dutasteride,C27H30F6N2O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C,,Benign Prostatic Hypertrophy Agents|5-Alpha Reductase Inhibitors
Daunorubicin,C27H29NO10,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,,Antineoplastic Agents
Bosentan,C27H29N5O6S,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,,Pulmonary Arterial Hypertension Agents
Zanubrutinib,C27H29N5O3,C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,,Antineoplastic Agents|Protein Kinase Inhibitors
Clofazimine,C27H22Cl2N4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,,Antiinfective Agents
Heparin,C26H42N2O37S5,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,,Antithrombotic Agents|Anticoagulants
Fesoterodine,C26H37NO3,CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,,Anticholinergic Agents
Statins,C26H34FNO5,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O,,Antilipemic Agents
Selexipag,C26H32N4O4S,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,,Pulmonary Arterial Hypertension Agents
Infigratinib,C26H31Cl2N7O3,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,,Antineoplastic Agents|Protein Kinase Inhibitors
Aclidinium,C26H30NO4S2+,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,,Anticholinergic Agents
Tamoxifen,C26H29NO,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,,Antineoplastic Agents
Nicardipine,C26H29N3O6,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,,"Cardiovascular Agents,|Calcium Channel Blockers"
Trisalicylate,C26H29MgNO10,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],,Salicylates
Bosutinib,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,,Antineoplastic Agents|Protein Kinase Inhibitors
Clomiphene,C26H28ClNO,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(\C2=CC=CC=C2)/Cl)/C3=CC=CC=C3,,Infertility Agents
Toremifene,C26H28ClNO,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,,Antineoplastic Agents|Antiestrogens|Selective Estrogen Receptor Modulators
Ketoconazole,C26H28Cl2N4O4,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,,Antifungal Agents
Vilazodone,C26H27N5O2,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,,Antidepressant Agents
Sonidegib,C26H26F3N3O3,C[C@@H]1CN(C[C@@H](O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F,,Antineoplastic Agents|Protein Kinase Inhibitors
Tolvaptan,C26H25ClN2O3,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,,Diuretics
Acalabrutinib,C26H23N7O2,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,,Antineoplastic Agents|Protein Kinase Inhibitors
Trametinib,C26H23FIN5O4,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,,Antineoplastic Agents|Protein Kinase Inhibitors|Dabrafenib
Deferoxamine,C25H48N6O8,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,,Hematological Agents;|Chelating Agents
Plazomicin,C25H48N6O10,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CNCCO)N)N)NC(=O)[C@H](CCN)O)O,,Aminoglycosides
Acarbose,C25H43NO18,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,,Antidiabetic Agents
Simvastatin,C25H38O5,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,Antilipemic Agents
Budesonide,C25H34O6,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,,"Hormones,|Corticosteroids"
Pimavanserin,C25H34FN3O2,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,,Antipsychotic Agents
Silodosin,C25H32F3N3O4,C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,,Benign Prostatic Hypertrophy Agents
Nefazodone,C25H32ClN5O2,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,,Antidepressant Agents
Trospium,C25H30NO3+,C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,,Anticholinergic Agents
Erdafitinib,C25H30N6O2,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,,Antineoplastic Agents|Protein Kinase Inhibitors
Quinapril,C25H30N2O5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Amiodarone,C25H29I2NO3,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,,Antiarrhythmic Agents
Linagliptin,C25H28N8O2,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,,Antidiabetic Agents|Incretin-Based Drugs
Irbesartan,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Brexpiprazole,C25H27N3O2S,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,,Antipsychotic Agents
Meclizine,C25H27ClN2,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,,Antihistamines
Rolapitant,C25H26F6N2O2,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)C4=CC=CC=C4,,Gastrointestinal Agents|Antiemetic Agents
Dabigatran,C25H25N7O3,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,,Antithrombotic Agents|Anticoagulants
Apixaban,C25H25N5O4,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,,Antithrombotic Agents|Anticoagulants
Ibrutinib,C25H24N6O2,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,,Antineoplastic Agents|Protein Kinase Inhibitors
Pitavastatin,C25H24FNO4,C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,,Antilipemic Agents
Telotristat,C25H22ClF3N6O3,CC1=NN(C=C1)C2=C(C=CC(=C2)Cl)[C@H](C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)C[C@@H](C(=O)O)N)N,,Antineoplastic Agents|Gastrointestinal Agents
Azilsartan,C25H20N4O5,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O,,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Insulin,C256H381N65O76S6,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CN=CN2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,,Hormonal Agents;|Antidiabetic Agents
CholicAcid,C24H40O5,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,,Gastrointestinal Agents|Bile Acids
Chenodiol,C24H40O4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,,Gastrointestinal Agents|Bile Acids
Ursodiol,C24H40O4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,,Gastrointestinal Agents|Bile Acids
Dipyridamole,C24H40N8O4,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,,Antithrombotic Agents|Antiplatelet Agents
Lovastatin,C24H36O5,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,Antilipemic Agents
Nabilone,C24H36O3,CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=O)CC[C@H]3C(OC2=C1)(C)C)O,,Gastrointestinal Agents|Antiemetic Agents
Romidepsin,C24H36N4O6S2,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,,Antineoplastic Agents
VitaminE,C24H34N4O5S,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,,Vitamins
Trandolapril,C24H34N2O5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Ranolazine,C24H33N3O4,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,,Antiangina Agents
Spironolactone,C24H32O4S,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,,Diuretics
Abiraterone,C24H31NO,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O,,Antineoplastic Agents|Antiandrogens
Eplerenone,C24H30O6,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,,Diuretics
Edoxaban,C24H30ClN7O4S,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,,Antithrombotic Agents|Anticoagulants
Donepezil,C24H29NO3,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,Alzheimer Disease Agents
Palbociclib,C24H29N7O2,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,,Antineoplastic Agents|Protein Kinase Inhibitors
Valsartan,C24H29N5O3,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Sarecycline,C24H29N3O8,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)CN(C)OC,,Antiinfective Agents|Tetracyclines
Bexarotene,C24H28O2,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,,Antineoplastic Agents|Retinoids
Benazepril,C24H28N2O5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Lumateperone,C24H28FN3O,CN1CCN2[C@H]3CCN(C[C@H]3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,,Antipsychotic Agents
Tafenoquine,C24H28F3N3O3,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,,Antimalarial Agents
Dimenhydrinate,C24H28ClN5O3,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,,Antihistamines
Troglitazone,C24H27NO5S,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,,Antidiabetic Agents
Iloperidone,C24H27FN2O4,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,,Antipsychotic Agents
Pemigatinib,C24H27F2N5O4,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,,Antineoplastic Agents|Protein Kinase Inhibitors
Olmesartan,C24H26N6O3,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Carvedilol,C24H26N2O4,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,,Beta-Adrenergic Receptor Antagonists
Fluvastatin,C24H26FNO4,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,,Antilipemic Agents
Flavoxate,C24H25NO4,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4,,Anticholinergic Agents
Afatinib,C24H25ClFN5O3,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,,Antineoplastic Agents|Protein Kinase Inhibitors
Dacomitinib,C24H25ClFN5O2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4,,Antineoplastic Agents|Protein Kinase Inhibitors
Olaparib,C24H23FN4O3,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,,Antineoplastic Agents|Protein Kinase Inhibitors
Ezetimibe,C24H21F2NO3,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,,Antilipemic Agents
Candesartan,C24H20N6O3,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,,Antihypertensive Agents|Angiotensin II Receptor Antagonists
Baloxavir,C24H19F2N3O4S,C1COC[C@@H]2N1C(=O)C3=C(C(=O)C=CN3N2[C@H]4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F)O,,Antiviral Agents
Viltolarsen,C244H381N113O88P20,CC1=CN(C(=O)NC1=O)[C@H]2CN(C[C@H](O2)COP(=O)(N3C[C@H](O[C@H](C3)N4C=C(C(=O)NC4=O)C)COP(=O)(N5C[C@H](O[C@H](C5)N6C=NC7=C6N=C(NC7=O)N)COP(=O)(N8C[C@H](O[C@H](C8)N9C=C(C(=O)NC9=O)C)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C(N=CN=C21)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C(N=CN=C21)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=C(C(=O)NC1=O)C)COP(=O)(N1C[C@H](O[C@H](C1)N1C=CC(=NC1=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=C(C(=O)NC1=O)C)COP(=O)(N1C[C@H](O[C@H](C1)N1C=C(C(=O)NC1=O)C)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=CC(=NC1=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=CC(=NC1=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=C(C(=O)NC1=O)C)COP(=O)(N1C[C@H](O[C@H](C1)N1C=CC(=NC1=O)N)COP(=O)(N1C[C@H](O[C@H](C1)N1C=CC(=NC1=O)N)CO)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)N(C)C)P(=O)(N(C)C)OC[C@@H]1CNC[C@@H](O1)N1C=CC(=NC1=O)N,,Genetic Disorder Agents
Neomycin,C23H46N6O13,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,,Aminoglycosides
Pravastatin,C23H36O7,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,,Antilipemic Agents
Eliglustat,C23H36N2O4,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O,,Gaucher Disease Agents
Finasteride,C23H36N2O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,,Benign Prostatic Hypertrophy Agents|5-Alpha Reductase Inhibitors
Vardenafil,C23H32N6O4S,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,,PDE5 Inhibitors
Ramipril,C23H32N2O5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,,Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors
Paxlovid,C23H32F3N5O4,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,,Antiviral Agents
Propantheline,C23H30NO3+,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,,Anticholinergic Agents
Ribociclib,C23H30N8O,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,,Antineoplastic Agents|Protein Kinase Inhibitors
Mepacrine,C23H30ClN3O,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,,Antimalarial Agents
Copanlisib,C23H28N8O4,COC1=C(C=CC2=C3NCCN3C(=NC(=O)C4=CN=C(N=C4)N)N=C21)OCCCN5CCOCC5,,Antineoplastic Agents|Protein Kinase Inhibitors
Ticagrelor,C23H28F2N6O4S,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F,,Antithrombotic Agents|Antiplatelet Agents
Piperacillin,C23H27N5O7S,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,,"Antiinfective Agents,|Penicillins (Fourth Generation)"
Minocycline,C23H27N3O7,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,,Antiinfective Agents|Tetracyclines
Paliperidone,C23H27FN4O3,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,,Antipsychotic Agents
Risperidone,C23H27FN4O2,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,,Antipsychotic Agents
Aripiprazole,C23H27Cl2N3O2,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,,Antipsychotic Agents|Brexpiprazole
Solifenacin,C23H26N2O2,C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5,,Anticholinergic Agents
Fostamatinib,C23H26FN6O9P,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C,,"Hematologic Growth Factors,|Protein Kinase Inhibitors"
Avanafil,C23H26ClN7O3,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCC[C@H]4CO)Cl,,PDE5 Inhibitors
Doxazosin,C23H25N5O5,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,,Antihypertensive Agents|Benign Prostatic Hypertrophy Agents
Ponesimod,C23H25ClN2O4S,CCCN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2)OC[C@@H](CO)O)Cl)/S1)C3=CC=CC=C3C,,Multiple Sclerosis Agents
