drug name,molecular_formula,smiles,,molecular_weight
Dexamethasone,C22H29FO5,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,,"Breast Feeding|Lactation|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Desoximetasone,C22H29FO4,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Sofosbuvir,C22H29FN3O9P,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Nucleotides"
Beclomethasone,C22H29ClO5,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,,"Breast Feeding|Lactation|Anti-Allergic Agents|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Alclometasone,C22H29ClO5,C[C@@H]1C[C@H]2[C@@H]3[C@@H](CC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)Cl,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Etonogestrel,C22H28O2,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female"
Delavirdine,C22H28N6O3S,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Mitoxantrone,C22H28N4O6,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,,Breast Feeding|Lactation|Antineoplastic Agents
Fentanyl,C22H28N2O,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics|Anesthetics, Intravenous|Opiates"
Gadobenate,C22H28GdN3O11,[H+].[H+].C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Rosuvastatin,C22H28FN3O6S,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,,Breast Feeding|Lactation|Anticholesteremic Agents|Antilipemic Agents|Hydroxymethylglutaryl-CoA Reductase Inhibitors
Diflorasone,C22H28F2O5,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Clobetasol,C22H28ClFO4,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Encorafenib,C22H27ClFN7O4S,C[C@@H](CNC1=NC=CC(=N1)C2=CN(N=C2C3=C(C(=CC(=C3)Cl)NS(=O)(=O)C)F)C(C)C)NC(=O)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Halobetasol,C22H27ClF2O4,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C)F,,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Eletriptan,C22H26N2O2S,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,,Breast Feeding|Lactation|Serotonin Receptor Agonists|Serotonin 5-HT1 Receptor Agonists|Triptans|Vasoconstrictor Agents
Fluphenazine,C22H26F3N3OS,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Dasatinib,C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Colchicine,C22H25NO6,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,,"Breast Feeding|Lactation|Milk, Human|Antigout Agents|Antimitotic Agents|Gout Suppressants"
Ertapenem,C22H25N3O7S,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)[C@@H](C)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Antibacterial Agents|Carbapenems"
Nebivolol,C22H25F2NO4,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,,Breast Feeding|Lactation|Adrenergic beta-Antagonists|Antihypertensive Agents|Vasodilator Agents
Zuclopenthixol,C22H25ClN2OS,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Dopamine Antagonists"
Oxytetracycline,C22H24N2O9,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Doxycycline,C22H24N2O8,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Tetracycline,C22H24N2O8,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Apremilast,C22H24N2O7S,CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,,Breastfeeding|Lactation|Analgesics|Antirheumatic Agents|Enzyme Inhibitors|Phosphodiesterase Inhibitors
Acrivastine,C22H24N2O2,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O,,Breast Feeding|Lactation|Antihistamines
Domperidone,C22H24ClN5O2,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,,"Breast Feeding|Lactation|Milk, Human|Antiemetics|Dopamine Antagonists|Galactogogues|Gastrointestinal Agents"
Azelastine,C22H24ClN3O,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,,Breast Feeding|Lactation|Antihistamines
Losartan,C22H23ClN6O,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin II Type 1 Receptor Blockers
futibatinib,C22H22N6O3,COC1=CC(=CC(=C1)C#CC2=NN(C3=NC=NC(=C23)N)[C@H]4CCN(C4)C(=O)C=C)OC,,"Breast Feeding|Lactation|Milk, Human|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
Droperidol,C22H22FN3O2,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,,Breast Feeding|Lactation|Antiemetics|Antipsychotic Agents|Butyrophenones|Dopamine Antagonists|Gastrointestinal Agents
Ceftaroline,C22H21N8O8PS4,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-],,Breast Feeding|Lactation|Anti-Bacterial Agents|Anti-Infective Agents|Cephalosporins
pirtobrutinib,C22H21F4N5O3,C[C@@H](C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
lemborexant,C22H20F2N4O2,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Orexin Receptor Antagonists|Sleep Aids, Pharmaceutical"
Bisacodyl,C22H19NO4,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,,Breast Feeding|Lactation|Cathartics|Gastrointestinal Agents
tadalafil,C22H19N3O4,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,,Breast Feeding|Lactation|Phosphodiesterase 5 Inhibitors|Urologic Agents|Vasodilator Agents
Atovaquone,C22H19ClO3,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,,Breast Feeding|Lactation|Anti-infective Agents|Antiparasitic Agents|Antimalarials|Antiprotozoal Agents
Rilpivirine,C22H18N6,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)/C=C/C#N,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Axitinib,C22H18N4OS,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Duvelisib,C22H17ClN6O,C[C@@H](C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,,Lactation|Breast Feeding|Antineoplastic Agents|Enzyme Inhibitors|Kinase Inhibitors|Phosphatidylinositol 3-kinases
Clotrimazole,C22H17ClN2,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents|Dermatologic Agents"
tirzepatide,C225H348N48O68,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](C(=O)O)NC(=O)CCCCCCCCCCCCCCCCCCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N4CCC[C@H]4C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N5CCC[C@H]5C(=O)N6CCC[C@H]6C(=O)N7CCC[C@H]7C(=O)N[C@@H](CO)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CC=C(C=C8)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC9=CC=CC=C9)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC1=CC=C(C=C1)O)N,,"Breast Feeding|Lactation|Milk, Human|Hypoglycemic Agents|Incretins|Glucagon-Like Peptide-1 Agonists|GLP-1 Agonists"
Gentamicin,C21H43N5O7,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Aminoglycosides
Streptomycin,C21H39N7O12,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Aminoglycosides|Antitubercular Agents
Brexanolone,C21H34O2,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,,"Breastfeeding|Lactation|Milk, Human|Antidepressants|Antidepressive Agents|GABA Agents|Hormones|Progesterone Congeners"
Iocanlidic Acid I 123,C21H33IO2,C1=CC(=CC=C1CCCCCCCCCCCCCCC(=O)O)[123I],,Breast Feeding|Lactation|Radiopharmaceuticals|Iodine Radioisotopes|Diagnostic Agents
Buspirone,C21H31N5O2,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,,Breast Feeding|Lactation|Anti-Anxiety Agents|Serotonin Agonists
Hydrocortisone,C21H30O5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Cannabidiol,C21H30O2,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,"Breast feeding|Lactation|Milk, Human|Anticonvulsants|Cannabinoids"
Progesterone,C21H30O2,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,,"Breast Feeding|Lactation|Milk, Human|Hormones|Progesterone Congeners"
Dronabinol,C21H30O2,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,,"Breast Feeding|Lactation|Milk, Human|Antiemetics|Cannabinoids"
Butorphanol,C21H29NO2,C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,,"Breast Feeding|Lactation|Analgesics, Opioid|Narcotics|Narcotic Antagonists|Opiates"
Disopyramide,C21H29N3O,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,,"Breast Feeding|Lactation|Milk, Human|Antiarrhythmics"
Prednisolone,C21H28O5,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Corticosteroids, Ophthalmic|Glucocorticoids|Anti-Inflammatory Agents"
Segesterone,C21H28O3,CC(=O)[C@]1(C(=C)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,,"Breast Feeding|Lactation|Contraceptive Agents, Female"
Intrauterine Levonorgestrel,C21H28O2,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female|Contraceptives, Oral, Synthetic"
Levonorgestrel Implant,C21H28O2,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female"
Oral Levonorgestrel,C21H28O2,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female|Contraceptives, Oral, Synthetic|Contraceptives, Postcoital"
Methadone,C21H27NO,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics|Antitussive Agents"
Glipizide,C21H27N5O4S,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,,Breast Feeding|Lactation|Hypoglycemic Agents|Sulfonylurea Compounds
Triamcinolone,C21H27FO6,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Hydroxyzine,C21H27ClN2O2,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,,Breast Feeding|Lactation|Antihistamines
Prednisone,C21H26O5,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Acitretin,C21H26O3,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,,Breast Feeding|Lactation|Keratolytic Agents|Retinoids
methylnaltrexone,C21H26NO4+,C[N+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6,,Breast Feeding|Lactation|Narcotic Antagonists
Mepenzolate,C21H26NO3+,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,,Breast Feeding|Lactation|Anti-Ulcer Agents|Muscarinic Antagonists|Parasympatholytics
Thioridazine,C21H26N2S2,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Mesoridazine,C21H26N2OS2,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,,Breast Feeding|Lactation|Antipsychotic Agents|Phenothiazines
Nimodipine,C21H26N2O7,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Olodaterol,C21H26N2O5,CC(C)(CC1=CC=C(C=C1)OC)NC[C@@H](C2=C3C(=CC(=C2)O)NC(=O)CO3)O,,Breast Feeding|Lactation|Anti-Asthmatic Agents|Beta Adrenergic Agonists|Bronchodilator Agents
Florbetaben F 18,C21H26FNO3,CNC1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)OCCOCCOCC[18F],,Breast Feeding|Lactation|Radiopharmaceuticals|Fluoride Radioisotopes|Diagnostic Agents
Fluocinolone,C21H26F2O6,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Clemastine,C21H26ClNO,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C,,Breast Feeding|Lactation|Antihistamines
Perphenazine,C21H26ClN3OS,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Quetiapine,C21H25N3O2S,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
leniolisib,C21H25F3N6O2,CCC(=O)N1CC[C@@H](C1)NC2=NC=NC3=C2CN(CC3)C4=CC(=C(N=C4)OC)C(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
Cetirizine,C21H25ClN2O3,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,,"Breast Feeding|Lactation|Milk, Human|Antihistamines"
Levocetirizine,C21H25ClN2O3,C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,,"Breast Feeding|Lactation|Milk, Human|Antihistamines"
Bepotastine,C21H25ClN2O3,C1CN(CCC1O[C@@H](C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O,,Breast Feeding|Lactation|Anti-Allergic Agents|Antihistamines
mirabegron,C21H24N4O2S,C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,,Breast Feeding|Lactation
Moxifloxacin,C21H24FN3O4,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Trifluoperazine,C21H24F3N3S,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Heroin,C21H23NO5,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,,"Breast Feeding|Lactation|Analgesics, Opioid|Narcotics|Street Drugs"
periciazine,C21H23N3OS,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Haloperidol,C21H23ClFNO2,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Butyrophenones"
Flurazepam,C21H23ClFN3O,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,,"Breast Feeding|Lactation|Milk, Human|Benzodiazepines|Hypnotics and Sedatives"
finerenone,C21H22N4O3,CCOC1=NC=C(C2=C1[C@@H](C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,,Breast Feeding|Lactation|Mineralocorticoid Receptor Antagonists
larotrectinib,C21H22F2N6O2,C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CC[C@@H](C4)O)C5=C(C=CC(=C5)F)F,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors"
Tazarotene,C21H21NO2S,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,,"Breast Feeding|Lactation|Milk, Human|Dermatologic Agents|Keratolytic Agents"
Cyproheptadine,C21H21N,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,,Breast Feeding|Lactation|Antihistamines|Gastrointestinal Agents
Ziprasidone,C21H21ClN4OS,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Demeclocycline,C21H21ClN2O8,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Permethrin,C21H20Cl2O3,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Insecticides
Lenvatinib,C21H19ClN4O4,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors"
remimazolam,C21H19BrN4O2,CC1=CN=C2N1C3=C(C=C(C=C3)Br)C(=N[C@H]2CCC(=O)OC)C4=CC=CC=N4,,"Breast Feeding|Lactation|Hypnotics and Sedatives|Benzodiazepines|Anesthetics, Intravenous"
Bictegravir,C21H18F3N3O5,C1C[C@@H]2C[C@H]1N3[C@H](O2)CN4C=C(C(=O)C(=C4C3=O)O)C(=O)NCC5=C(C=C(C=C5F)F)F,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Anti-HIV Agents|Anti-Retroviral Agents|HIV Integrase Inhibitors"
Deferasirox,C21H15N3O4,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,,Breast Feeding|Lactation|Chelating Agents|Iron Chelating Agents
Docusate,C20H38O7S,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,,Breast Feeding|Lactation|Gastrointestinal Agents|Laxatives|Surface-Active Agents
Gadoversetamide,C20H34GdN5O10,COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Dinoprostone,C20H32O5,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,,Breast Feeding|Lactation|Oxytocics|Prostaglandins
Lubiprostone,C20H32F2O5,CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)O)O)(F)F,,Breast Feeding|Lactation|Chloride Channel Agonists|Gastrointestinal Agents|Membrane Transport Modulators|Laxatives
